
ドラゴンクエスト４
連続攻撃(攻撃), 連斬撃
炎の爪(命中), 中ビーム 赤 -.wav
会心の一撃(攻撃), スーパータックル
会心の一撃(命中), 乱打;強打 Crash.wav
会心の一撃(命中), クリティカル斬撃;強打 Crash.wav
跳び蹴り, 浴びせ蹴り
キラーピアス(準備), スコップ 二刀流
キラーピアス(攻撃), 連斬撃
キラーピアス(命中), 連斬撃
キラーピアス(クリティカル), デフォルト
鉄の槍, スピア
ホーリーランス, パイク
正義のそろばん, ほうき
商人軍団, 旋風
子守歌(攻撃), 音符
子守歌(命中), -
鎖鎌, 鎌
鎖鎌, 鎌投擲
鎖鎌, 分銅
モーニングスター, モーニングスター
銀のタロット, トランプ
怪しい光(Ｍ), ＭＡＰビーム 桃
怪しい光(攻撃), 中ビーム 桃 BeamCoat.wav
怪しい光(命中), 中ビーム 桃
力溜め攻撃, タックル
まどろみの剣, リボン
理力の杖, ナギナタ
理力の杖(命中), 雷斬撃 Slash.wav
ミスターの一撃, 打突
死角攻撃(攻撃), 分身打撃
死角攻撃(命中), 分身打撃
アイスコンドル, 怪鳥召喚
スモールグール, 猿召喚
爆裂拳(攻撃), 乱打
爆裂拳(命中), 超爆発
反射(光の壁), 反射 Glass.wav 光の壁
反射(マホカンタ), 反射 Glass.wav 光の壁
反射(天空の盾), 反射 Glass.wav 天空の盾
バイキルト, 攻撃力ＵＰ Sharara.wav
ドラゴラム(攻撃), MicroMissile.wav;ＭＡＰ炎 -.wav
ドラゴラム(命中), Crash.wav
ドラゴラム(解説), $(パイロット)は激しい炎を吐いた！
フバーハ, 光バリア BeamCoat.wav 光の衣
攻撃無効化(光の衣), 光バリア BeamCoat.wav 光の衣
マホステ, 煙 桃 Hide.wav
攻撃無効化(紫の霧), 煙 桃 Beamcoat.wav
魔神斬り, 斬撃突撃
メダパニダンス, バック転 2
羽根をまき散らす(準備), 煙 白 MachineCannon.wav
羽根をまき散らす(攻撃), ＭＡＰ煙 白 Hide.wav
羽根をまき散らす(命中), -
岩石落とし, 岩
せいけん突き, 打突
せいけん突き(命中), 超打
踏みつけ, 踏み潰し
隼の剣(準備), レイピア


デスピサロ
冷たく輝く息, ＭＡＰフラッシュ Interference.wav



デスピサロ第一形態
破壊時分離(解説), デスピサロの右腕を切り落とした！
破壊(解説), -


デスピサロ第二形態
破壊時分離(解説), デスピサロの左腕を切り落とした！
破壊(解説), -



デスピサロ第三形態
破壊時分離(解説), デスピサロの頭を叩きつぶした！！
破壊(解説), -


デスピサロ第五形態
破壊時分離(解説), デスピサロの腕が生え替わった！！
破壊(解説), -

デスピサロ第六形態
破壊時分離(解説), デスピサロの脚が生え替わった！！
破壊(解説), -

デスピサロ第七形態
破壊時分離(解説), デスピサロがあらわれた！！
破壊(解説), -




