アース神族
モーメントスライド(命中), Punch.wav
ラウンドキック, Swing.wav
ラウンドキック(命中), Punch(2).wav
ソニックエッジ, Bomb.wav
ソニックエッジ(命中), Stab.wav
スピニングエッジ, Swing.wav
スピニングエッジ(命中), 2;Stab.wav;Drill.wav
ドラゴンドレッド(準備), Charge.wav
ドラゴンドレッド, Whiz.wav
ドラゴンドレッド(命中), 5;Beam.wav;Explode(Nuclear).wav
エイミングウィスプ, Beam.wav
エイミングウィスプ(命中), Saber.wav
ファーストショット, Bow.wav
ファーストショット(命中), Stab.wav
ツインショット, 2;Bow.wav;Bow.wav
ツインショット(命中), 2;Stab.wav;Stab.wav
レイヤーストーム(準備), Charge.wav
レイヤーストーム, Bow.wav
レイヤーストーム(命中), Saber.wav
ディジーズニードル, Bow.wav
ディジーズニードル(命中), Saber.wav
ディジーズニードル(クリティカル), 3;Saber.wav;Bubble.wav
トライスティンガー, 1;Bow.wav;1;Bow.wav;Bow.wav
トライスティンガー(命中), 2;Saber.wav;2;Saber.wav;Saber.wav
レストレインフレイム, Bazooka.wav
レストレインフレイム(命中), Explode(Small).wav
ギルティブレイク(準備), Charge.wav
ギルティブレイク, Reload.wav
ギルティブレイク(命中), Explode.wav
フィフスウェイ, FastGun.wav
フィフスウェイ(命中), Combo.wav
ルナティックシュート, FastGun.wav
ルナティックシュート(命中), Combo.wav
フレアショット, Bow.wav
フレアショット(命中), Fire.wav
スフィアデサイド(準備), Charge.wav
スフィアデサイド, Stairs(Run).wav
スフィアデサイド(命中), 2;Explode(Small).wav;2;Explode(Small).wav;5;Explode(Small).wav;Explode.wav
ウェイト・リアクション, Bird.wav
ウェイト・リアクション(命中), Punch.wav
ダンシング・ソード, Swing.wav
ダンシング・ソード(命中), Stab.wav
ファイア・ランス, 3;Bazooka.wav;Bazooka.wav
ファイア・ランス(命中), Fire.wav
カラミティブラスト, 3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
カラミティブラスト(命中), Explode(Far).wav
バーン・ストーム, Whiz.wav
バーン・ストーム(命中), Explode(Small).wav
イフリートキャレス, Whiz.wav
イフリートキャレス(命中), Explode(Far).wav
アイシクル・エッジ, Storm.wav
アイシクル・エッジ(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
アイシクル・エッジ(クリティカル), BreakOff.wav
デルタストライク, Storm.wav
デルタストライク(命中), 3;Glass.wav;Glass.wav
デルタストライク(クリティカル), BreakOff.wav
クール・ダンセル, Storm.wav
クール・ダンセル(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
クール・ダンセル, (クリティカル), BreakOff.wav
アブソリュートゼロ, Bomb.wav
アブソリュートゼロ, 2;Glass.wav;2;Glass.wav;2;Glass.wav;Glass.wav
アブソリュートゼロ(クリティカル), BreakOff.wav
ライトニング・ボルト, Thunder.wav
ライトニング・ボルト(命中), Explode(Small).wav
ブルーティッシュボルト, 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Thunder.wav
ブルーティッシュボルト(命中), 3;Explode(Small).wav;3;Explode(Small).wav;Explode(Small).wav
ポイズン・ブロウ, Bazooka.wav
ポイズン・ブロウ(命中), Shock(Low).wav
ポイズン・ブロウ(クリティカル), Bubble.wav
ペトロディスラプション, 3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
ペトロディスラプション(命中), Shock(Low).wav
ペトロディスラプション(クリティカル), Bubble.wav
クロス・エアレイド, LaserGun.wav
クロス・エアレイド(命中), Explode(Small).wav
セレスティアルスター, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;LaserGun.wav
セレスティアルスター(命中), Explode(Far).wav
ダーク・セイヴァー, Whiz.wav
ダーク・セイヴァー(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
ファイナルチェリオ, Whiz.wav
ファイナルチェリオ(命中), Slash.wav
イグニート・ジャベリン, 2;Bomb.wav;2;Bomb.wav;Bomb.wav
イグニート・ジャベリン(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
セラフィックローサイト(準備), Charge.wav
セラフィックローサイト, Beam.wav
セラフィックローサイト(命中), 2;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
ストーン・トウチ, Whiz.wav
ストーン・トウチ(命中), Punch.wav
ストーン・トウチ(クリティカル), Inori.wav
カルネージアンセム, Whiz.wav
カルネージアンセム(命中), Punch(3).wav
プリズミック・ミサイル, Beam.wav
プリズミック・ミサイル(命中), 2;Glass.wav;2;Glass.wav;2;Glass.wav;2;Glass.wav;Glass.wav
プリズミック・ミサイル(クリティカル), Inori.wav
グラビティブレス, Whiz.wav
グラビティブレス(命中), 2;Shock(Low).wav;2;Shock(Low).wav;Shock(Low).wav
シャドウ・サーバント, Whiz.wav
シャドウ・サーバント(命中), Punch(3).wav
メテオスウォーム, 2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;Bomb.wav
メテオスウォーム(命中), Explode(Small).wav
キュア・プラムス, Sharara.wav
エヴォーグ・フェザー, Sharara.wav
オーディナリィ・シェイプ, Sharara.wav
リフレクト・ソーサリー, Sharara.wav
ガード・レインフォース, Sharara.wav
マイト・レインフォース, Sharara.wav
プリベント・ソーサリー, Whiz.wav
プリベント・ソーサリー(クリティカル), Inori.wav
レデュース・ガード, Whiz.wav
レデュース・ガード(クリティカル), PowerDown.wav
レデュース・パワー, Whiz.wav
レデュース・パワー(クリティカル), PowerDown.wav

ネクロマンサー
ウェイト・リアクション, Bird.wav
ウェイト・リアクション(命中), Punch.wav
ダンシング・ソード, Swing.wav
ダンシング・ソード(命中), Stab.wav
ファイア・ランス, 3;Bazooka.wav;Bazooka.wav
ファイア・ランス(命中), Fire.wav
カラミティブラスト, 3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
カラミティブラスト(命中), Explode(Far).wav
バーン・ストーム, Whiz.wav
バーン・ストーム(命中), Explode(Small).wav
イフリートキャレス, Whiz.wav
イフリートキャレス(命中), Explode(Far).wav
アイシクル・エッジ, Storm.wav
アイシクル・エッジ(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
アイシクル・エッジ(クリティカル), BreakOff.wav
デルタストライク, Storm.wav
デルタストライク(命中), 3;Glass.wav;Glass.wav
デルタストライク(クリティカル), BreakOff.wav
クール・ダンセル, Storm.wav
クール・ダンセル(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
クール・ダンセル, (クリティカル), BreakOff.wav
アブソリュートゼロ, Bomb.wav
アブソリュートゼロ, 2;Glass.wav;2;Glass.wav;2;Glass.wav;Glass.wav
アブソリュートゼロ(クリティカル), BreakOff.wav
ライトニング・ボルト, Thunder.wav
ライトニング・ボルト(命中), Explode(Small).wav
ブルーティッシュボルト, 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Thunder.wav
ブルーティッシュボルト(命中), 3;Explode(Small).wav;3;Explode(Small).wav;Explode(Small).wav
ポイズン・ブロウ, Bazooka.wav
ポイズン・ブロウ(命中), Shock(Low).wav
ポイズン・ブロウ(クリティカル), Bubble.wav
ペトロディスラプション, 3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
ペトロディスラプション(命中), Shock(Low).wav
ペトロディスラプション(クリティカル), Bubble.wav
クロス・エアレイド, LaserGun.wav
クロス・エアレイド(命中), Explode(Small).wav
セレスティアルスター, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;LaserGun.wav
セレスティアルスター(命中), Explode(Far).wav
ダーク・セイヴァー, Whiz.wav
ダーク・セイヴァー(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
ファイナルチェリオ, Whiz.wav
ファイナルチェリオ(命中), Slash.wav
イグニート・ジャベリン, 2;Bomb.wav;2;Bomb.wav;Bomb.wav
イグニート・ジャベリン(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
セラフィックローサイト, 6;Charge.wav;Beam.wav
セラフィックローサイト(命中), 2;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
ストーン・トウチ, Whiz.wav
ストーン・トウチ(命中), Punch.wav
ストーン・トウチ(クリティカル), Inori.wav
カルネージアンセム, Whiz.wav
カルネージアンセム(命中), Punch(3).wav
プリズミック・ミサイル, Beam.wav
プリズミック・ミサイル(命中), 2;Glass.wav;2;Glass.wav;2;Glass.wav;2;Glass.wav;Glass.wav
プリズミック・ミサイル(クリティカル), Inori.wav
グラビティブレス, Whiz.wav
グラビティブレス(命中), 2;Shock(Low).wav;2;Shock(Low).wav;Shock(Low).wav
シャドウ・サーバント, Whiz.wav
シャドウ・サーバント(命中), Punch(3).wav
メテオスウォーム, 2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;Bomb.wav
メテオスウォーム(命中), Explode(Small).wav
キュア・プラムス, Sharara.wav
エヴォーグ・フェザー, Sharara.wav
オーディナリィ・シェイプ, Sharara.wav
リフレクト・ソーサリー, Sharara.wav
ガード・レインフォース, Sharara.wav
マイト・レインフォース, Sharara.wav
プリベント・ソーサリー, Whiz.wav
プリベント・ソーサリー(クリティカル), Inori.wav
レデュース・ガード, Whiz.wav
レデュース・ガード(クリティカル), PowerDown.wav
レデュース・パワー, Whiz.wav
レデュース・パワー(クリティカル), PowerDown.wav
ダンシング・ワンド, Swing.wav
ダンシング・ワンド(命中), Punch.wav
ポイズンファング, Whiz.wav
ポイズンファング(命中), Stab.wav
ポイズンファング(クリティカル), Bubble.wav
魅惑の呪, Hittyuu.wav
魅惑の呪(クリティカル), Bubble.wav

不死者
ブラッディナックル, Swing.wav
ブラッディナックル(命中), Punch.wav
デッドリーレイド, Swing.wav
デッドリーレイド(命中), Punch(2).wav
イモータルブロウ, Swing.wav
イモータルブロウ(命中), Punch(3).wav
ブラッディカリス(準備), Charge.wav
ブラッディカリス, Whiz.wav
ブラッディカリス(命中), MicroMissile.wav
ヘルファイア, Bazooka.wav
ヘルファイア(命中), Fire.wav
マリスグラッジ, Beam.wav
マリスグラッジ(命中), Explode(Small).wav
ファイア・ランス, 3;Bazooka.wav;Bazooka.wav
ファイア・ランス(命中), Fire.wav
カラミティブラスト, 3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
カラミティブラスト(命中), Explode(Far).wav
バーン・ストーム, Whiz.wav
バーン・ストーム(命中), Explode(Small).wav
グレートソード, Swing.wav
グレートソード(命中), Slash.wav
ディグニティアーケナム, Swing.wav
ディグニティアーケナム(命中), Slash.wav

アース神族とヴァン神族のハーフ
クール・ダンセル, Storm.wav
クール・ダンセル(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
クール・ダンセル, (クリティカル), BreakOff.wav
シャドウ・サーバント, Whiz.wav
シャドウ・サーバント(命中), Punch(3).wav
アイシクル・エッジ, Storm.wav
アイシクル・エッジ(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
アイシクル・エッジ(クリティカル), BreakOff.wav
クロス・エアレイド, LaserGun.wav
クロス・エアレイド(命中), Explode(Small).wav
カルネージアンセム, Whiz.wav
カルネージアンセム(命中), Punch(3).wav
シミター, Swing.wav
シミター(命中), Stab.wav
エクステンションフォース, Beam.wav
エクステンションフォース(命中), Fire.wav
インディスクリミネイト, Whiz.wav
インディスクリミネイト(命中), 3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;Bazooka.wav
ドラゴンオーブ, 3;Beam.wav;Beam.wav
ドラゴンオーブ(命中), Explode(Small).wav

ヴァン神族
ファイア・ランス, 3;Bazooka.wav;Bazooka.wav
ファイア・ランス(命中), Fire.wav
イグニート・ジャベリン, 2;Bomb.wav;2;Bomb.wav;Bomb.wav
イグニート・ジャベリン(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
イフリートキャレス, Whiz.wav
イフリートキャレス(命中), Explode(Far).wav
フレアストライク, Swing.wav
フレアストライク(命中), Fire.wav
フレアストーム, Whiz.wav
フレアストーム(命中), Explode(Small).wav
グレートソード, Swing.wav
グレートソード(命中), Slash.wav
