
# ＧＳＣ丸投げパックにて使用されている下記のファイルを、攻撃アニメに採用しています。
# EFFECT_DQS_CelestialSword.bmp
# EFFECT_DQS_DragonStaff01.bmp
# EFFECT_DQS_DemonSpear.bmp
# EFFECT_DQS_FalconSword01.bmp
# EFFECT_DQS_PoisonMothKnife01.bmp
# EFFECT_DQS_SawBlade.bmp
# EFFECT_DQS_SlumberSword01.bmp

汎用
ストロスの杖, 回復魔法
マダンテ(攻撃), 魔法陣
マダンテ(命中), 超爆発
メガンテ(準備), 粒子集中
メガンテ(攻撃), 球電
メガンテ(命中), 超爆発
ドラゴラム(攻撃), MicroMissile.wav;ＭＡＰ炎 -.wav
ドラゴラム(命中), Crash.wav
ドラゴラム(解説), $(パイロット)は激しい炎を吐いた！
# 補助呪文
ルカニ(攻撃), 発光 桃
ルカニ(命中), -
ルカニ(クリティカル), 劣化
ルカナン(攻撃), ＭＡＰ発光 桃
ルカナン(命中), -
ルカナン(クリティカル), 発光 桃;防御力ＤＯＷＮ
マヌーサ(攻撃), ＭＡＰ煙 白 Hide.wav
マヌーサ(命中), -
マヌーサ(クリティカル), 煙 白;撹乱
ラリホー(攻撃), 煙 桃 Bubble.wav
ラリホー(命中), -
ラリホー(クリティカル), 睡眠
ラリホーマ(攻撃), 煙 桃 Bubble.wav
ラリホーマ(命中), -
ラリホーマ(クリティカル), 睡眠
メダパニ(攻撃), 五芒星 桃 Hide.wav
メダパニ(命中), -
メダパニ(クリティカル), 混乱
マホトーン(攻撃), 五芒星 赤 Sharara.wav
マホトーン(命中), -
マホトーン(クリティカル), 沈黙
マホトラ(攻撃), 光投射 黒
マホトラ(命中), 吸収 黒
バイキルト, 攻撃力ＵＰ Sharara.wav
フバーハ, 光バリア BeamCoat.wav 光の衣
反射(光の壁), 反射 Glass.wav 光の壁
反射(マホカンタ), 反射 Glass.wav 光の壁
反射(天空の盾), 反射 Glass.wav 天空の盾
# 回復呪文
ホイミ, 回復魔法泡
ベホイミ, 回復魔法
ベホマ, 回復魔法;回復魔法泡
ベホマラー(使用), 飛沫 白 Sharara.wav
ベホマラー(発動), 回復魔法泡 Sharara.wav
ベホマズン(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 3
ベホマズン(発動), -
# ブレス
火の息, 炎投射 赤
火炎の息(攻撃), 火炎放射 赤 Breath.wav
火炎の息(命中), 火炎放射 赤 Fire.wav
激しい炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
激しい炎(命中), 火炎放射 赤 Fire.wav
灼熱の炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
灼熱の炎(命中), 火炎放射 赤 Fire.wav
灼熱の炎(ＭＡＰ)(攻撃), AntiShipMissile.wav;ＭＡＰ炎 -.wav
灼熱の炎(ＭＡＰ)(命中), Crash.wav
冷たい息, 吹雪
凍える吹雪(攻撃), 旋風 白 Storm.wav
凍える吹雪(命中), 旋風 白 Glass.wav
輝く息(攻撃), 火炎放射 白 Interference.wav
輝く息(命中), 火炎放射 白 -.wav
稲妻, 落雷
毒の息, 煙噴射 緑 Breath.wav
甘い息, 煙噴射 桃 Bubble.wav
焼けつく息(攻撃), 煙噴射 赤 Breath.wav
焼けつく息(命中), 煙 赤 Inori.wav
猛毒の霧, 煙噴射 紫 Breath.wav
# 武器
樫の杖, 棍棒
大木槌, 木槌
大金槌, メイス
魔神の金槌(準備), ピコピコハンマー
魔神の金槌(攻撃), 白兵武器
魔神の金槌(命中), 超打
破邪の剣, 神剣
長剣, サーベル
まどろみの剣(準備), 突く武器 EFFECT_DQS_SlumberSword01.bmp
まどろみの剣(攻撃), 刺突
まどろみの剣(命中), ダメージ Stab.wav
#まどろみの剣, リボン
パパスの剣, 日本刀
奇跡の剣, ソード
のこぎり刀, 斬撃武器 EFFECT_DQS_SawBlade.bmp
#のこぎり刀, フランベルジュ
隼の剣(準備), 振る武器 EFFECT_DQS_FalconSword01.bmp
隼の剣(攻撃), 連斬撃
#隼の剣(準備), レイピア
吹雪の剣, ソード
吹雪の剣(命中), 凍斬撃
天空の剣(準備), 振る武器 EFFECT_DQS_CelestialSword.bmp Sword.wav
天空の剣(命中), 大斬撃
バトルアックス, 鋼の斧
ドラゴンキラー(準備), カタール Sword.wav
ドラゴンキラー(攻撃), 刺突
ドラゴンキラー(命中), ダメージ Stab.wav
刃のブーメラン, スーパーブーメラン 黒
刃のブーメラン(命中), 斬撃
炎のブーメラン, スーパーブーメラン 赤
炎のブーメラン(命中), 炎
茨の鞭, 鞭
チェーンクロス, 鞭
グリンガムの鞭, 鞭
モーニングスター, モーニングスター
キラーピアス(準備), スコップ 二刀流
キラーピアス(攻撃), 連斬撃
キラーピアス(命中), 連斬撃
キラーピアス(クリティカル), デフォルト
爪, 爪撃
鉄の爪, クロー
炎の爪(攻撃), 中ビーム 赤 Fire.wav
炎の爪(命中), 中ビーム 赤 -.wav
悪魔の爪, Glass.wav;クロー
牙, 噛み付き
石の牙, 噛み付き
鋼鉄の牙, 噛み付き
オリハルコンの牙, 噛み付き
風神の盾(攻撃), 旋風
風神の盾(命中), 旋風
雷神の槍, 落雷
デーモンスピア(準備), 突く武器 EFFECT_DQS_DemonSpear.bmp
デーモンスピア(攻撃), 刺突
デーモンスピア(命中), ダメージ Stab.wav
ビッグボウガン, クロスボウ
毒蛾のナイフ, 斬撃武器 EFFECT_DQS_PoisonMothKnife01.bmp
ベビーフォーク, 刺突
魔法の杖, ロッド
ドラゴンの杖(準備), 振る武器 EFFECT_DQS_DragonStaff01.bmp
ドラゴンの杖(攻撃), 振り下ろし
ドラゴンの杖(命中), ダメージ Crash.wav
#ドラゴンの杖(準備), 杖
#ドラゴンの杖(攻撃), 振り下ろし
#ドラゴンの杖(命中), ダメージ Crash.wav
ドラゴンの杖・竜化(準備), 振る武器 EFFECT_DQS_DragonStaff01.bmp Charge(long).wav
ドラゴンの杖・竜化(攻撃), MicroMissile.wav;ＭＡＰ炎 -.wav
ドラゴンの杖・竜化(命中), Crash.wav
ドラゴンの杖・竜化(解説), $(パイロット)は光の竜に姿を変え、激しい炎を吐いた！
#ドラゴンの杖・竜化(準備), Charge(long).wav;杖
#ドラゴンの杖・竜化(攻撃), MicroMissile.wav;ＭＡＰ炎 -.wav
#ドラゴンの杖・竜化(命中), Crash.wav
#ドラゴンの杖・竜化(解説), $(パイロット)は光の竜に姿を変え、激しい炎を吐いた！
# 打撃
会心の一撃(攻撃), スーパータックル
会心の一撃(命中), 乱打;強打 Crash.wav
会心の一撃(命中), クリティカル斬撃;強打 Crash.wav
痛恨の一撃(攻撃), 斬撃
痛恨の一撃(命中), 超打 Crash.wav
回し蹴り, キック
かかと落とし, キック
くちばし, 刺突
触手, 触手 黄
なめまわし, 舌
馬蹄, 打突
巴投げ, 投げ飛ばし
力溜め攻撃, タックル
気合溜め攻撃, スーパータックル
皆殺し(攻撃), 斬撃
皆殺し(命中), 大斬撃
# その他
シールド防御(大防御), 光バリア BeamCoat.wav 大防御
まぶしい光(攻撃), 発光 白 対象ユニットＩＤ
まぶしい光(命中), 発光 白
不気味な光(攻撃), 発光 黒 対象ユニットＩＤ
不気味な光(命中), 発光 黒
凍てつく波動, 波動放射 残像
凍てつく波動(天空の剣)(準備), 振る武器 EFFECT_DQS_CelestialSword.bmp Sword.wav
凍てつく波動(天空の剣)(攻撃), 斬撃;波動放射 残像
凍てつく波動(天空の剣)(命中), glass.wav
おたけび, 音波
冷気弾, 火炎弾 青
冷気弾(命中), 凍結 glass.wav
火炎弾, 火炎弾
火炎弾(命中), 炎
斧, 片刃斧
三叉の槍, トライデント
死神の鎌, 大鎌
蛮刀, 青龍刀
両手の蛮刀, 青龍刀 二刀流
押しつぶし, 踏み潰し
魔王の一撃, 打突
プチスパーク(攻撃), 波動放射 黄 LaserGun.wav
プチスパーク(命中), 大放電
プチスラッシュ(準備), 魔法陣 黄 Sharara.wav;落雷 Thunder.wav
プチスラッシュ(攻撃), 振り下ろし;波動放射 黄 MicroMissile.wav
プチスラッシュ(命中), 大電撃 Explode(Nuclear).wav
アルテマソード(攻撃), 魔法集中 白 Hittyuu.wav 相手ユニットＩＤ;振り下ろし
アルテマソード(命中), 唐竹割り
アルテマソード(とどめ), 縦分割
